Price (Euro),Rating
1.4,8
1.4,6
1.4,8
1.4,8
1.4,8
1.4,5
1.4,6
1.4,2.1
1.4,3.5
1.4,2
1.4,1
1.4,1
1.4,3
0.45,2
0.45,4.33
0.45,6
0.45,4
0.45,5.1
0.45,6
0.45,3.5
0.45,6.9
0.45,6
0.45,6.5
0.45,1
0.45,2
0.45,6.5
0.79,4
0.79,5
0.79,7
0.79,7
0.79,5
0.79,8
0.79,5
0.79,1
0.79,5.5
0.79,8
0.79,9
0.79,4.5
0.79,4
0.75,2
0.75,5
0.75,3
0.75,1.5
0.75,9
0.75,10
0.75,7
0.75,9
0.75,4
0.75,9
0.75,1
0.75,6
0.75,2
0.66,7.5
0.66,3
0.66,8
0.66,5
0.66,4.2
0.58,6
0.58,5.69
0.58,5
0.58,6
0.58,8.3
0.99,7.5
0.99,3.5
0.99,4
0.99,7
0.99,5
0.99,3
0.99,2.5
0.99,1
0.99,1.5
0.99,2.5
0.99,3.2
0.99,9
0.99,3.5
0.5,9.5
0.5,5
0.5,4
0.5,8
0.5,9
0.3,6
0.3,6
0.3,7
0.3,6.7
0.3,9.2
0.99,7
0.99,6.5
0.99,2
0.99,4
0.99,4
0.99,1
0.99,4
0.99,4
0.95,5
0.95,5
0.95,2.2
0.95,7
0.95,5
0.95,6.5
0.95,6
0.95,5
0.79,4
0.79,7.5
0.79,3
0.79,2.5
0.79,6
0.79,6
0.79,4
0.79,2
0.72,5
0.72,5
0.72,4
0.72,2
0.72,5
0.72,2
0.72,6
0.72,5
0.39,8
0.39,1
0.39,2
0.39,7
0.39,3
0.39,5
0.39,4
0.39,6
0.45,3
0.45,3
0.45,3
0.45,7.5
0.45,6
0.45,7
0.45,5
0.45,6
0.39,4
0.39,2
0.39,5
0.39,1.5
0.39,2
0.39,1
0.39,5
0.39,2
